Date,Confirmed,Deaths,Recovered
2021/1/1,96023,4783,90031
2021/1/2,96086,4784,90099
2021/1/3,96160,4784,90159
2021/1/4,96246,4785,90213
2021/1/5,96310,4787,90306
2021/1/6,96398,4788,90400
2021/1/7,96484,4788,90478
2021/1/8,96562,4789,90543
2021/1/9,96690,4791,90630
2021/1/10,96824,4792,90697
2021/1/11,96920,4792,90772
2021/1/12,97095,4793,90857
2021/1/13,97275,4796,90953
2021/1/14,97448,4796,91026
2021/1/15,97616,4796,91100
2021/1/16,97775,4797,91158
2021/1/17,97939,4797,91205
2021/1/18,98164,4798,91263
2021/1/19,98323,4799,91322
2021/1/20,98544,4801,91382
2021/1/21,98725,4802,91382
2021/1/22,98886,4802,91526
2021/1/23,99047,4803,91609
2021/1/24,99247,4804,91709
2021/1/25,99402,4807,91775
2021/1/26,99541,4809,91920
2021/1/27,99655,4810,92076
2021/1/28,99746,4813,92223
2021/1/29,99848,4814,92321
2021/1/30,99968,4814,92622
2021/1/31,100063,4817,92779
2021/2/1,100127,4818,92891
2021/2/2,100177,4819,93060
2021/2/3,100226,4821,93280
2021/2/4,100268,4822,93459
2021/2/5,100318,4822,93606
2021/2/6,100348,4822,93752
2021/2/7,100389,4822,93883
2021/2/8,100435,4822,93989
2021/2/9,100475,4823,94147
2021/2/10,100494,4824,94288
2021/2/11,100527,4827,94413
2021/2/12,100559,4828,94536
2021/2/13,100578,4829,94641
2021/2/14,100599,4829,94728
2021/2/15,100624,4829,94796
2021/2/16,100639,4830,94875
2021/2/17,100666,4831,94960
2021/2/18,100684,4833,95034
2021/2/19,100705,4833,95110
2021/2/20,100727,4833,95181
2021/2/21,100758,4833,95241
2021/2/22,100784,4833,95293
2021/2/23,100808,4833,95332
2021/2/24,100832,4833,95462
2021/2/25,100851,4834,95518
2021/2/26,100886,4834,95561
2021/2/27,100924,4834,95605
2021/2/28,100965,4835,95649
2021/3/1,100990,4836,95681
2021/3/2,101013,4836,95721
2021/3/3,101037,4836,95755
2021/3/4,101055,4837,95778
