Date,Confirmed,Deaths,Recovered
2020/1/23,95,1,2
2020/1/24,277,8,6
2020/1/25,486,16,3
2020/1/26,669,14,10
2020/1/27,802,26,9
2020/1/28,2632,49,43
2020/1/29,578,2,19
2020/1/30,2054,38,15
2020/1/31,1661,42,79
2020/2/1,2089,46,61
2020/2/2,4739,102,188
2020/2/3,3086,64,151
2020/2/4,3991,66,229
2020/2/5,3733,72,272
2020/2/6,3147,70,362
2020/2/7,3523,85,522
2020/2/8,2704,87,597
2020/2/9,3015,100,623
2020/2/10,2525,107,699
2020/2/11,2032,100,718
2020/2/12,373,5,446
2020/2/13,15136,252,1135
2020/2/14,6463,152,1760
2020/2/15,2055,142,1321
2020/2/16,2100,103,1457
2020/2/17,1921,98,1707
2020/2/18,1777,139,1744
2020/2/19,408,113,1756
2020/2/20,458,122,2052
2020/2/21,473,0,690
2020/2/22,1451,205,3995
2020/2/23,21,2,488
2020/2/24,219,150,1828
2020/2/25,513,70,2661
2020/2/26,412,52,2408
2020/2/27,434,29,2846
2020/2/28,328,44,3399
2020/2/29,428,47,2991
2020/3/1,576,35,2842
2020/3/2,204,42,2692
2020/3/3,125,33,2596
2020/3/4,125,36,2551
2020/3/5,151,32,2291
2020/3/6,153,29,1652
2020/3/7,80,28,1595
2020/3/8,53,28,1849
2020/3/9,37,23,1416
2020/3/10,27,16,1377
2020/3/11,34,22,1463
2020/3/12,11,11,1257
2020/3/13,13,8,1295
2020/3/14,32,13,1464
2020/3/15,26,10,1357
2020/3/16,30,14,893
2020/3/17,25,13,888
2020/3/18,44,11,957
2020/3/19,54,8,780
2020/3/20,94,4,731
2020/3/21,55,6,591
2020/3/22,130,15,505
2020/3/23,58,0,452
2020/3/24,94,7,466
2020/3/25,71,4,493
2020/3/26,123,6,408
2020/3/27,91,5,539
2020/3/28,92,3,380
2020/3/29,94,5,482
2020/3/30,81,4,341
2020/3/31,106,1,283
2020/4/1,88,7,199
2020/4/2,81,6,160
2020/4/3,83,4,195
2020/4/4,37,4,186
2020/4/5,60,3,261
2020/4/6,71,2,103
2020/4/7,53,0,100
2020/4/8,91,2,157
2020/4/9,74,2,112
2020/4/10,58,1,112
2020/4/11,73,3,86
2020/4/12,120,0,79
2020/4/13,79,2,83
2020/4/14,93,0,161
2020/4/15,49,1,111
2020/4/16,48,0,90
2020/4/17,357,1290,849
2020/4/18,26,0,62
2020/4/19,19,0,76
2020/4/20,12,0,55
2020/4/21,36,0,54
2020/4/22,15,0,62
2020/4/23,16,0,122
2020/4/24,15,0,126
2020/4/25,10,0,66
2020/4/26,3,1,102
2020/4/27,6,0,97
2020/4/28,22,0,48
2020/4/29,4,0,52
2020/4/30,12,0,49
2020/5/1,3,0,50
2020/5/2,0,0,13
2020/5/3,5,0,98
2020/5/4,2,0,108
2020/5/5,2,0,78
2020/5/6,2,0,59
2020/5/7,5,0,48
2020/5/8,1,0,16
2020/5/9,14,0,134
2020/5/10,20,0,40
2020/5/11,1,0,31
2020/5/12,7,0,24
2020/5/13,6,0,24
2020/5/14,5,0,15
2020/5/15,9,0,20
2020/5/16,6,1,12
2020/5/17,10,0,13
2020/5/18,9,0,4
2020/5/19,0,0,0
2020/5/20,0,0,0
2020/5/21,8,0,0
2020/5/22,10,0,22
2020/5/23,3,0,3
2020/5/24,11,0,8
2020/5/25,7,0,9
2020/5/26,1,0,6
2020/5/27,3,0,9
2020/5/28,0,0,4
2020/5/29,17,0,11
2020/5/30,5,0,4
2020/5/31,18,0,3
2020/6/1,8,0,9
2020/6/2,7,0,2
2020/6/3,1,0,4
2020/6/4,11,0,11
2020/6/5,6,0,5
2020/6/6,9,0,4
2020/6/7,5,0,10
2020/6/8,4,0,10
2020/6/9,3,0,7
2020/6/10,11,0,5
2020/6/11,7,0,8
2020/6/12,12,0,8
2020/6/13,58,0,3
2020/6/14,49,0,7
2020/6/15,43,0,7
2020/6/16,44,0,4
