date,Confirmed,Death,Tested,Vaccination
2021-02-04,1998594.0,54936.0,7298753.0,28104448.0
2021-02-05,2297439.0,73007.0,6621060.0,26667375.0
2021-02-06,1830150.0,49930.0,5794823.0,19117046.0
2021-02-07,1479808.0,32587.0,4555147.0,11336979.0
2021-02-08,1446400.0,41270.0,5233576.0,21792189.0
2021-02-09,1723131.0,62729.0,6506093.0,24841118.0
2021-02-10,1879876.0,58982.0,6432980.0,25887280.0
2021-02-11,1889993.0,58853.0,6612114.0,26685392.0
2021-02-12,1824623.0,54758.0,6403260.0,29417744.0
2021-02-13,1607596.0,44920.0,5424017.0,18119898.0
2021-02-14,1300497.0,29747.0,4388775.0,11303965.0
2021-02-15,1192473.0,33433.0,4996819.0,19053737.0
2021-02-16,1529675.0,47546.0,5967460.0,23997474.0
2021-02-17,1655845.0,48278.0,6383888.0,27420389.0
2021-02-18,1759460.0,50649.0,6464726.0,29945959.0
2021-02-19,1755084.0,49528.0,6635760.0,26974070.0
2021-02-20,1597806.0,38308.0,6120858.0,18048070.0
2021-02-21,1362192.0,28296.0,4732733.0,11306849.0
2021-02-22,1251263.0,30785.0,5485202.0,19970572.0
2021-02-23,1673007.0,48811.0,6592751.0,25935296.0
2021-02-24,1912903.0,52446.0,6718226.0,30268320.0
2021-02-25,1944392.0,46355.0,7062552.0,34305950.0
2021-02-26,1897670.0,44826.0,6999082.0,33122756.0
2021-02-27,1701224.0,36779.0,6328765.0,23617672.0
2021-02-28,1324147.0,27198.0,4814546.0,12540210.0
2021-03-01,1295360.0,31871.0,5647668.0,26182117.0
2021-03-02,1657943.0,43554.0,8887536.0,32573786.0
2021-03-03,1905383.0,49048.0,7260599.0,38260839.0
2021-03-04,1972754.0,44022.0,7457087.0,42983421.0
2021-03-05,1935504.0,44898.0,7522818.0,41173656.0
2021-03-06,1778138.0,34853.0,6306172.0,31535569.0
2021-03-07,1601655.0,25510.0,5143774.0,15265471.0
2021-03-08,1292224.0,30612.0,5852462.0,35258154.0
2021-03-09,1777826.0,44617.0,6700371.0,38931443.0
2021-03-10,1984497.0,43235.0,7652466.0,43782555.0
2021-03-11,2117682.0,43293.0,7815720.0,41809868.0
2021-03-12,2106656.0,41755.0,7947733.0,47182521.0
2021-03-13,1970922.0,36336.0,6166411.0,35473871.0
2021-03-14,1580186.0,25174.0,5082806.0,17430632.0
2021-03-15,1502908.0,31851.0,6740325.0,45446225.0
2021-03-16,2005834.0,45120.0,7747118.0,46843734.0
2021-03-17,2355234.0,45010.0,8417406.0,49663399.0
2021-03-18,2367771.0,45184.0,8190743.0,50053670.0
2021-03-19,2422201.0,45650.0,7675545.0,54079927.0
2021-03-20,2149070.0,37127.0,6473014.0,41990225.0
2021-03-21,1904534.0,35646.0,5330571.0,27253463.0
2021-03-22,1809539.0,34158.0,6206344.0,50544045.0
2021-03-23,2152154.0,48942.0,7614686.0,54848579.0
2021-03-24,2729389.0,45065.0,8646156.0,63926530.0
2021-03-25,2816290.0,49295.0,8661586.0,75760220.0
2021-03-26,2757726.0,54632.0,11127931.0,81215918.0
2021-03-27,2513505.0,42896.0,7043345.0,59607332.0
2021-03-28,2117919.0,30564.0,6832192.0,37633043.0
2021-03-29,1937279.0,36622.0,7129635.0,54954949.0
2021-03-30,2400396.0,50458.0,7942950.0,65478422.0
2021-03-31,2903939.0,54673.0,8944946.0,78587058.0
2021-04-01,3044958.0,51948.0,8749744.0,92900664.0
2021-04-02,2755687.0,45214.0,7508212.0,80693554.0
2021-04-03,2285918.0,39667.0,7194781.0,51286439.0
2021-04-04,2409384.0,31293.0,5796101.0,40421093.0
2021-04-05,2067760.0,34629.0,5809581.0,59952848.0
2021-04-06,2519790.0,51728.0,8180134.0,73447846.0
2021-04-07,2755760.0,64907.0,9121448.0,81450626.0
2021-04-08,3575828.0,60527.0,8816987.0,99199571.0
2021-04-09,3150270.0,60826.0,8555644.0,93857195.0
2021-04-10,2798126.0,54471.0,7404856.0,64786636.0
2021-04-11,3046908.0,38133.0,6816324.0,45429971.0
2021-04-12,2550267.0,41739.0,7416012.0,75640370.0
2021-04-13,3195088.0,58200.0,8477483.0,74595215.0
2021-04-14,3413081.0,59496.0,8840264.0,78811115.0
2021-04-15,3452776.0,57468.0,8291170.0,79597570.0
2021-04-16,3595522.0,56212.0,8109936.0,77464851.0
2021-04-17,3306407.0,52604.0,7159549.0,55563196.0
2021-04-18,2904074.0,37947.0,6962378.0,36167117.0
2021-04-19,2844129.0,46604.0,7585020.0,62932874.0
2021-04-20,3487146.0,59907.0,8545798.0,66515919.0
2021-04-21,3712308.0,61945.0,9320217.0,76197576.0
2021-04-22,3747062.0,58219.0,9263055.0,93913934.0
2021-04-23,3773128.0,63618.0,8737455.0,80921043.0
2021-04-24,3411664.0,54632.0,7772860.0,59102749.0
2021-04-25,3002287.0,44417.0,7148566.0,45957272.0
2021-04-26,2826617.0,48251.0,7516791.0,74380309.0
2021-04-27,3469023.0,62529.0,8868174.0,87999335.0
2021-04-28,3721985.0,66292.0,8961037.0,101656607.0
2021-04-29,3700427.0,65256.0,9154505.0,105672412.0
2021-04-30,3678396.0,59844.0,8460197.0,109449148.0
2021-05-01,3272195.0,53863.0,6993849.0,58832356.0
2021-05-02,2812430.0,42269.0,8571227.0,43579826.0
2021-05-03,2819627.0,48113.0,7345235.0,64538953.0
2021-05-04,3226840.0,57966.0,8305924.0,76830030.0
2021-05-05,3469380.0,61802.0,8709607.0,87938281.0
2021-05-06,3599137.0,60283.0,9194821.0,104630305.0
2021-05-07,3436395.0,59771.0,8481527.0,108149930.0
2021-05-08,3230553.0,54893.0,6901608.0,83427676.0
2021-05-09,2650653.0,42855.0,6855002.0,52752485.0
2021-05-10,2551068.0,45576.0,7275003.0,87720614.0
2021-05-11,2981422.0,58568.0,7687202.0,101411570.0
2021-05-12,3156116.0,58269.0,7847735.0,113562680.0
2021-05-13,3015955.0,55207.0,7171177.0,108259819.0
2021-05-14,2902538.0,53494.0,7776041.0,111132230.0
2021-05-15,2578134.0,50231.0,6610152.0,97057782.0
2021-05-16,2230113.0,41805.0,4397107.0,84546410.0
2021-05-17,2212151.0,46167.0,5809619.0,110639477.0
2021-05-18,2547179.0,57698.0,9966958.0,118439559.0
2021-05-19,2757598.0,55191.0,9115147.0,120043489.0
2021-05-20,2572347.0,53898.0,8898598.0,137727612.0
2021-05-21,2558726.0,53000.0,8619335.0,132685711.0
2021-05-22,2330100.0,46636.0,7332574.0,104527023.0
2021-05-23,1958544.0,39969.0,6842655.0,87011069.0
2021-05-24,1831918.0,37143.0,7071235.0,117340016.0
2021-05-25,2166310.0,52945.0,8400767.0,137513154.0
2021-05-26,2315734.0,52338.0,8903189.0,152324875.0
2021-05-27,2235050.0,52739.0,9353914.0,142290089.0
2021-05-28,2064924.0,48877.0,8298494.0,141735611.0
2021-05-29,1954973.0,43893.0,7043549.0,128887135.0
2021-05-30,1584400.0,33957.0,6187253.0,107375424.0
2021-05-31,1570199.0,35276.0,6555804.0,139953015.0
2021-06-01,1870173.0,44491.0,7633114.0,154780827.0
2021-06-02,1977066.0,48434.0,10150182.0,169951774.0
2021-06-03,1969261.0,41373.0,10401888.0,148067442.0
2021-06-04,1728130.0,43343.0,9747985.0,167138866.0
2021-06-05,1606735.0,38181.0,9112705.0,129688568.0
2021-06-06,1308523.0,29582.0,8094193.0,100476097.0
2021-06-07,1305612.0,32682.0,7134174.0,130991307.0
2021-06-08,1504005.0,43554.0,7630909.0,142151351.0
2021-06-09,1698649.0,41446.0,8156575.0,149864650.0
2021-06-10,1845990.0,35155.0,8231027.0,165449495.0
2021-06-11,1707453.0,47552.0,7823854.0,155038901.0
2021-06-12,1487133.0,39696.0,6862120.0,120371903.0
2021-06-13,1221300.0,37239.0,6511615.0,104149335.0
2021-06-14,1251544.0,32230.0,6764581.0,116951448.0
2021-06-15,1514235.0,43542.0,7213482.0,162105934.0
